Name,Category,Well_Known_Movie,Bio
Bimal Roy,Director,Bandini,"Bimal Roy (July 12, 1909 - January 8, 1966) was an Indian film director"
Kruttika Desai,Actress,Uttaran,"Kruttika Desai was born on February 23, 1968 in India"
Om Prakash,Actor,Dus Lakh,"Om Prakash was born on December 19, 1919 in Lahore, Punjab, British India as Om Prakash Bakshi"
J. Mahendran,Writer,Mullum Malarum,J
Rasika Joshi,Actress,Bhool Bhulaiyaa,"Rasika Joshi was born on September 12, 1972 in Mumbai, Maharashtra, India to Marathi Brahmin family"
Vijayshanti,Actress,Karthavyam,She is a darling to Telugu movie audiences
Thomas Heathcote,Actor,A Man for All Seasons,"Thomas Heathcote was born on September 9, 1917 in Simla, India"
Tanya Abrol,Actress,Chak De! India,"Tanya Abrol was born on January 8, 1986 in Abohar, Punjab, India"
Kratika Sengar,Actress,Punar Vivaah: Zindagi Milegi Dobara,Kratika Sengar is a talented and versatile Indian television actress famous for her role as the grown-up Manikarnika in the historical tv show Ek Veer Stree Ki Kahaani
Sam Dastor,Actor,The Life and Death of Peter Sellers,"Sam Dastor was born on October 2, 1941 in Bombay, Bombay Presidency, British India"
Ankita Chakraborty,Actress,Byomkesh O Chiriakhana,"Popularly known as Mun from Ishti-Kutum, popular Bengali serial which ran for almost 2years in Star Jalsa"
Ajay Nagrath,Actor,Pardes,"Ajay Nagrath was born on February 16, 1986 in Bombay, Maharashtra, India"
Memon Mohsin,Actor,Koyla,"Memon Mohsin was born on October 22, 1987 in Mumbai, Maharahstra, India as Mohsin Memon"
Laxmikant Shantaram Kudalkar,Composer,Karz,"Laxmikant Shantaram Kudalkar was born on November 3, 1937 in Bombay, Bombay Presidency, British India"
S.V. Ranga Rao,Actor,Bala Bharatam,S
Mary Hignett,Actress,Doomwatch,"Mary Hignett was born on March 31, 1916 in Madras, Madras Presidency, British India"
Ketki Dave,Actress,Kal ho naa ho,"Ketki Dave was born on August 30, 1960 in Bombay, Maharashtra, India as Ketki Joshi"
Jagdish Raj,Actor,Ilzam,"Jagdish Raj was born in 1928 in Sargodha, Punjab, British India as Jagdish Raj Khurana"
Megha Gupta,Actress,Fan,Megha Gupta (born 13 May 1971) is an Indian television actress and model
Mukesh,Soundtrack,Deadpool,"A singer in a class of his own, Mukesh was ranked, along with Mohammad Rafi and Kishore Kumar, as one of the greatest male playback singers in Bollywood history"
Cheran,Actor,Autograph,"Cheran was born on December 12, 1970 in Madurai, Tamil Nadu, India"
Rashami Desai,Actress,Uttaran,"Rashami Desai was born on August 4, 1986 in Nowgong, Assam, India"
Rohit Roy,Actor,Kaabil,"Rohit Roy was born on October 2, 1968 in Nagpur, Maharashtra, India"
Vanisri,Actress,Kathanayika Molla,"Vanisri was born as Ratna Kumari in Nellore, Andhra Pradesh, India in 1948"
Nagesh,Actor,Nammavar,"Nagesh was born on September 27, 1933 in Dharapuram, Tamil Nadu, India as Gunddu Rao"
Deepal Shaw,Actress,A Wednesday,"Deepal Shaw was born on February 21, 1986 in Bombay, Maharashtra, India"
Sarfaraz Khan,Actor,Slumdog Millionaire,"Sarfaraz Khan was born on April 22, 1976 in India"
S.P. Balasubrahmanyam,Music Department,Maine Pyar Kiya,S
Aditya Srivastav,Actor,Black Friday,"Aditya Srivastav was born on 21 July 1963 in Allahabad, Uttar Pradesh, India"
Gizele Thakral,Actress,Mastizaade,"Gizele Thakral was born on September 2, 1990 in Sri Ganganagar, India"
Ritabhari Chakraborty,Actress,Ogo Bodhu Sundari,"Ritabhari Chakraborty was born on June 26, 1992 in Calcutta, West Bengal, India"
Jaikishan Dayabhai Panchal,Soundtrack,Deadpool,"Jaikishan Dayabhai Panchal was born on November 4, 1929 in Vansda, Bansda State, British India"
Honey Irani,Writer,Koi... Mil Gaya,"Honey Irani was born on January 17, 1955 in Bombay, State of Bombay, India"
Michael Mosley,Producer,The Human Face,"Michael Mosley was born on March 22, 1957 in Calcutta, West Bengal, India"
Kalabhavan Mani,Actor,Sallapam,Kalabhavan Mani (born 1 January 1971) is a South Indian actor and singer
Ashwanth Ashokkumar,Actor,Jagame Thandhiram,Ashwanth Ashok Kumar- A Chennai child - Born on 15 Sep 2011 to Mr
Vindu Dara Singh,Actor,Ssshhhh... Koi Hai,"Vindu Dara Singh was born on May 6, 1964 in Bombay, Maharashtra, India"
Rajendra Gupta,Actor,Lagaan: Once Upon a Time in India,"Rajendra Gupta was born on February 22, 1945 in Panipat, Punjab, British India"
Mishti,Actress,Kaanchi,"Mishti was born on December 20, 1987 in Calcutta, West Bengal, India as Indrani Chakraborty"
Laxmikant Berde,Actor,Hum Aapke Hain Koun...!,"Laxmikant Berde was born on October 26, 1954 in India"
Pallavi Joshi,Actress,Andhaa Yudh,"Pallavi Joshi was born on April 4, 1969 in Bombay, Maharashtra, India"
Anthony C. Bartley,Producer,Fireside Theatre,Anthony C
Manmohan Krishna,Actor,Dhool Ka Phool,"Manmohan Krishna was born on February 26, 1922 in Valsad, Gujarat, India"
Anand Tiwari,Actor,Slumdog Millionaire,"Anand Tiwari was born on May 29, 1983 in Bombay, Maharashtra, India"
Nauheed Cyrusi,Actress,Bhoothnath,"Nauheed Cyrusi was born in Bombay, India"
Tanuja,Actress,Paisa Ya Pyar,"Tanuja was born on September 23, 1943 in Bombay, Bombay Presidency, British India as Tanuja Samarth"
Silk Smitha,Actress,Prathigna,"Silk Smitha was born on December 2, 1960 in Eluru, Andhra Pradesh, India"
Shweta Salve,Actress,Lanka,"Shweta Salve was born on November 12, 1990 in Bombay, Maharashtra, India"
Soham Chakraborty,Actor,Amar Aponjon,"Soham Chakraborty was born on March 4, 1984 in Calcutta, West Bengal, India"
Vrajesh Hirjee,Actor,Kaho Naa... Pyaar Hai,"Vrajesh Hirjee was born on June 16, 1971 in Bihar, India"
Nadeem Baig,Actor,Mutthi Bhar Chawal,"Nadeem Baig is a Pakistani actor, who has acted in Plaza SquareJln films, television films,TV serials and TV drama"
Dina Pathak,Actress,Bollywood/Hollywood,"Dina Pathak was born on March 4, 1922 in Amreli, Bombay Presidency, British India as Dina Gandhi"
Soundarya,Actress,Aapthamitra,"Soundarya was born on July 18, 1972 in Bangalore, Mysore State, India as Sowmya Satyanarayan"
Roopashree Jeevaji,Actress,9-1-2001,"Born in India, Roopashree Jeevaji became involved with acting at a young age"
Shammi,Actress,Ittefaq,"Shammi was born in 1931 in Bombay, Bombay Presidency, British India as Nargis Rabadi"
Tabassum,Actress,Tum Par Hum Qurban,"Tabassum was born on July 9, 1944 in Bombay, Bombay Presidency, British India as Kiran Bala Sachdev"
Abbas Tyrewala,Writer,Munna Bhai M.B.B.S.,"Abbas Tyrewala was born on June 6, 1984 in India"
Babbu Mann,Actor,Hero Hitler in Love,"Babbu Maan (born Tejinder Singh Maan on March 29) is a Punjabi singer-songwriter, actor, and producer"
Shivaaji Satam,Actor,C.I.D.,"Shivaaji Satam was born on April 21, 1950 in India"
Shweta Gulati,Actor,Remix,"Shweta Gulati was born on May 29, 1979 in Bombay, Maharashtra, India"
Rachita Ram,Actress,Ranna,"Rachita Ram was born on October 3, 1990 in Bangalore, Karnataka, India"
Deepa Sannidhi,Actress,Enakkul Oruvan,Rahasya was born in Chikkamagalur district of Karnataka to the coffee estate owner father Shashidhar and Mother Nanda
Arif Zakaria,Actor,Krrish 3,"Arif Zakaria was born on November 11, 1966 in Bombay, Maharashtra, India"
Elspeth Duxbury,Actress,Make Mine Mink,"Elspeth Duxbury was born on April 3, 1909 in Mhow, India as Elspeth Grace Duxbury"
Faisal Khan,Assistant Director,Jo Jeeta Wohi Sikandar,Faisal Khan was born in September 1966 in India
Siddhanta Mahapatra,Actor,Kali Sankar,"Siddhanta Mahapatra was born on May 4, 1966 in Behrampur, Orissa, India"
Sunidhi Chauhan,Soundtrack,Yeh Jawaani Hai Deewani,"Sunidhi is one of the most versatile singers of the country, with countless songs in her repertoire"
Zakir Khan,Producer,A Promising Game,"Zakir Khan was born on August 20, 1987 in India"
Bhavana Balsawar,Actress,Kaun Kare Kurbanie,"Bhavana Balsawar was born on October 21, 1975 in Bombay, Maharashtra, India"
Madhu Sapre,Actress,Captain Vyom,"Madhu Sapre was born on July 14, 1971 in India"
Jaise Jose,Actor,Daivathinte Swantham Cleetus,"Jaise Jose was born on October 27, 1977 in Vadakkancherry, Trichur, Kerala, India"
Shelley King,Actress,Code 46,"Shelley King was born on September 25, 1955 in Calcutta, West Bengal, India"
Raghveer Boli,Actor,Galwakdi,"Raghveer Boli was born on November 20, 1987 in Punjab, India as Raghveer Singh"
Samyuktha Varma,Actress,Veendum Chila Veettukaryangal,"Samyuktha Varma was born in 1982 in Thrissur, Kerala, India"
Anjan Srivastav,Actor,Jo Jeeta Wohi Sikandar,"Anjan Srivastav was born on June 2, 1948 in Calcutta, West Bengal, India"
Vaishnavi,Actress,Shaktimaan,"Vaishnavi was born on September 9, 1974 in Bombay, Maharashtra, India"
Anjan Dutt,Director,Chalo Let's Go,"Anjan Dutt was born on January 19, 1953 in Calcutta, West Bengal, India"
Gaurav Chopra,Actor,Blood Diamond,"Gaurav Chopra was born on April 4, 1979 in New Delhi, India"
Anupama Verma,Actress,Ittefaq,"Anupama Verma was born on July 2, 1981 in New Delhi, India"
Juhi Parmar,Actress,Kumkum - Ek Pyara Bandhan,"Juhi Parmar was born on December 14, 1980 in Ujjain, Madhya Pradesh, India"
Jagjit Singh,Soundtrack,Veer-Zaara,"Jagjit Singh was an Indian classical singer, composer, and musician known during his lifetime as ""The Ghazal King"
Vyjayanthimala,Actress,Devdas,"Vyjayanthimala was born to actress and dancer Vasundhara Devi in a Tamil-speaking family in Chennai, India, on August 13, 1936"
Anang Desai,Actor,Gandhi,"Anang Desai was born on March 4, 1953 in Ahmedabad, State of Bombay, India"
Charan Prabhakar,Actor,The Last Man(s) on Earth,"Charan Prabhakar was born on January 22, 1981 in Chennai, India"
Paidi Jairaj,Actor,Sholay,"Paidi Jairaj was born on September 28, 1909 in Karimnagar, Hyderabad State, British India"
Aditya Narayan,Music Department,Shaapit: The Cursed,"Aditya Narayan was born on August 6, 1987 in Bombay, Maharashtra, India as Aditya Narayan Jha"
Rajlaxmi R. Roy,Actress,Asoka,"Rajlaxmi Khanvilkar was born in a Marathi-speaking family in Bombay, India, on October 14, 1976"
K.N. Singh,Actor,Barsaat,K
Priti Sapru Walia,Actress,Sardari,"Priti was born in a Kashmiri family on December 24, 1957 in Bombay, Maharashtra, India"
Mohana Krishna Indraganti,Writer,Grahanam,His father Srikanth Sharma Indraganti is a prolific writer
Anuradha Paudwal,Music Department,Dil Hai Ki Manta Nahin,"Anuradha Paudwal was born on October 27, 1954 in India"
Joni Flynn,Actress,Octopussy,"Joni Flynn was born on December 18, 1949 in Assam, India"
Simi Garewal,Actress,Saathi,"Simi Garewal was born on October 17, 1947 to a Punjabi Sikh family in India"
Nazima,Actress,Manchali,"Nazima was born in 1948 in Nashik, Maharashtra, India"
Pinchoo Kapoor,Actor,Don,Pinchoo Kapoor was born in 1927 in India
Meiyang Chang,Actor,Sultan,Meiyang Chang born 6 October 1982
Srividya,Actress,Apoorva Raagangal,"Srividya was born on July 24, 1953 in Madras, Madras State, India"
Rahul Rawail,Director,Arjun,"Rahul Rawail was born on April 7, 1951 in Bombay, State of Bombay, India"
M.T. Vasudevan Nair,Writer,Nirmalyam,M
Gerald Durrell,Writer,Tarka the Otter,"Gerald Durrell was born on January 7, 1925 in Jamshedpur, India as Gerald Malcolm Durrell"
Leena Yadav,Director,Parched,"Born to an Indian Army General in Madhya Pradesh, she graduated with Economics honours from Lady Shri Ram College for Women, Delhi"
Richa Ahuja Badami,Actress,Ziddi,"Richa Ahuja Badami was born on September 16, 1973 in New Delhi, India"
Zubin Mehta,Soundtrack,Manhattan,"Zubin Mehta was born on April 29, 1936 in Bombay, Bombay Presidency, British India"
Kavita Krishnamurthy,Music Department,Devdas,"Kavita Krishnamurthy was born on January 25, 1958 in New Delhi, India as Sharada Krishnamurthy"
Manohar Singh,Actor,New Delhi Times,Manohar Singh was born in 1938 in India
Sultan Rahi,Actor,Maula Jat,"Rugged looks, brawny and stocky, with an aggressive style of dialogue delivery"
Sheela,Actress,Akale,"Sheela was born as Clara Abraham in a Syro-Malabar Catholic Nasrani family in Thrissur, Kerala"
Mrinal Kulkarni,Actress,Prem Mhanje Prem Mhanje Prem Asta,Mrinal Kulkarni is often considered as one of the most talented actresses in Marathi Film Industry
Saeed Akhtar Mirza,Director,Albert Pinto Ko Gussa Kyon Ata Hai,"Saeed Akhtar Mirza was born on June 30, 1943 in Bombay, Bombay Presidency, British India"
Gulshan Bawra,Music Department,Zanjeer,"Gulshan Bawra was born on April 12, 1937 in Sheikhupura, Punjab, British India as Gulshan Mehta"
Narendra Jha,Actor,Haider,"Narendra Jha was born on September 2, 1962 in Bihar, India as Narendra N Jha"
Romesh Sharma,Director,New Delhi Times,"Romesh Sharma was born on July 27, 1947 in Gurdaspur, Punjab, British India"
Abhishek Pathak,Producer,Drishyam,Abhishek Pathak started his career at the age of 17
Ishaq Bux,Actor,Raiders of the Lost Ark,"Ishaq Bux was born on June 15, 1917 in Kampur, India"
Vidya Sinha,Actress,Krishna-Krishna,"Vidya Sinha was born on November 15, 1947 in Bombay, Bombay State, India"
Mona May,Costume Designer,Enchanted,Mona May was born in India
Dhritiman Chatterjee,Actor,Black,"Dhritiman Chatterjee was born on May 30, 1945 in Calcutta, Bengal Presidency, British India"
Shamim Ara,Actress,Hathi Merey Sathi,"Shamim Ara is a renowned film actress, film producer and film director of Pakistan"
Sharada,Actress,Samaj Ko Badal Dalo,"Sharada was born on June 12, 1945 in Tenali, Guntur District, Andhra Pradesh, India as Saraswathi"
Parvathi,Actress,Adharvam,"Parvathi was born in Kerala, India as Aswathy"
Moushumi Chatterjee,Actress,Bollywood/Hollywood,Moushumi Chatterjee was considered one of the most beautiful faces to hit the Hindi screen in the 1970s
Sobhan Babu,Actor,Jeevana Jyoti,"Sobhan Babu was born on January 14, 1937 in Krishna District, Andhra Pradesh, India as Sobhana Chalapathi Rao"
Sandali Sinha,Actress,Tum Bin...: Love Will Find a Way,"Sandali Sinha was born on January 11, 1971 in India"
Ketan Mehta,Director,Mirch Masala,Ketan Mehta is one of the most internationally acknowledged filmmakers from India
Manav Gohil,Actor,Tenali Rama,"Manav Gohil was born on July 11, 1974 in Gujarat, India"
Sumanth,Actor,Boni,Sumanth is an Indian actor/producer who works predominantly in the Telugu language
Navya Nair,Actress,Gramaphone,"Navya Nair was born in 1984 in Alappuzha, Kerala, India as Dhanya Nair"
Nara Rohith,Actor,Appatlo Okadundevadu,"Nara Rohith was born on July 25, 1984 in Tirupati, Andhra Pradesh, India"
Harris Jayaraj,Composer,Anniyan,"Harris Jayaraj was brought up in Chennai, HE was born into a middle class Christian Nadar family"
Madhu Shalini,Actress,The Blood,"Madhu Shalini was born on July 21, 1989 in Hyderabad, Andhra Pradesh, India"
Mukesh,Actor,In Harihar Nagar,"Mukesh was born in Kollam, Kerala, India"
Ravi Baswani,Actor,Jaane Bhi Do Yaaro,"Ravi Baswani was born on September 29, 1946 in New Delhi, British India"
Arun Bali,Actor,3 Idiots,"Arun Bali was born on December 23, 1942 in Lahore, Punjab, British India"
Mayur Verma,Actor,7 Saal Baad,Mayur Verma was born in 1964 in India as Mayur Raj Verma
Locket Chatterjee,Actress,Kiriti Roy,"Locket Chatterjee was born on December 4, 1973 in Calcutta, West Bengal, India"
Akash Sagar Chopra,Producer,The Interrogation of Guru Kartaar Singh,"Akash Chopra (Akash Sagar Chopra), is an acclaimed actor, composer, singer and director"
Anchal Joseph,Actress,Touch the Fire,Anchal Joseph is an Indian born model and actress that took the industry by storm when she started at 17 years
Rocky Verma,Actor,Vidhyaarthi: The Power of Students,"Rocky Verma was born on 9th November 1969 at Indore Madhya Pradesh, India"
Rinke Khanna,Actress,Pyaar Mein Kabhi Kabhi...,"Rinke Khanna was born on July 27th 1977 to Dimple Kapadia and Rajesh Khanna,as well as sister to 'Twinkle Khanna' (qv and sister-in-law of Akshay Kumar"
Monali Thakur,Music Department,Dum Laga Ke Haisha,"Monali Thakur was born on November 3, 1985 in Calcutta, West Bengal, India"
Kushboo,Actress,Chinna Thambi,"Kushboo was born on September 19, 1970 in Bombay, Maharashtra, India as Nakhat Khan"
Shankar Mahadevan,Music Department,Kal ho naa ho,"Shankar Mahadevan was born on March 3, 1967 in Chembur, Bombay, Maharashtra, India"
Rahul Dev Burman,Composer,Sholay,"Rahul Dev Burman was born on June 27, 1939 in Calcutta, Bengal Presidency, British India"
Srinivasa Rao Kota,Actor,Dookudu,"Srinivasa Rao Kota was born on July 10, 1944 in Kankipadu, Madras Presidency, British India"
Angel Rai,Actress,Ek Nazar,"Angel Rai is an Indian actress, model and singer on different social applications more than 12 millions fan and work in Zee music company's album"
Neha Saxena,Actress,Cochin Shadhi at Chennai 03,"Neha Saxena was born on October 25, 1989 in Dehradun, Uttarkhand, India"
Suresh,Actor,Dulari,"Suresh was born on October 13, 1929 in India"
Deepali Pansare,Actress,Iss Pyaar Ko Kya Naam Doon,"Deepali Pansare was born on July 3, 1984 in Nasik, Maharashtra, India"
Mitesh Mirchandani,Cinematographer,Uri: The Surgical Strike,
Ajit,Actor,Zanjeer,"Ajit was born on January 27, 1922 in Golconda, Hyderabad State, British India as Hamid Ali Khan"
Leela Chitnis,Actress,Kangan,"Leela Chitnis was born on September 9, 1909 in Dharwar, Karnataka, India"
Anup Soni,Actor,Balika Vadhu,"Anup Soni was born on January 30, 1975 in Pune, Maharashtra, India"
Uma Riyaz Khan,Actress,Mouna Guru,Uma was born as the only child of her artist parents
Mohan Choti,Actor,Anjan Hai Koyee,"Mohan Choti was born on January 1, 1935 in Jaipur, Rajasthan, India"
Lily Chakravarty,Actress,Shakha Proshakha,Lily Chakraborty is mainly a Bengali actress who has earned accolades for her natural way of acting skill and has acted in many Bollywood films also
Amerjit Deu,Actor,Bollywood Queen,"Amerjit Deu was born on September 3, 1960 in Punjab, India"
Michael Van Wijk,Self,Gladiators,"Michael Van Wijk was born on September 30, 1952 in Bombay, State of Bombay, India"
Aditi Govitrikar,Actress,Soch,Dr
Smita Bansal,Actress,Balika Vadhu,"Smita Bansal was born on February 21, 1978 in Jaipur, Rajasthan, India"
Daisy Bopanna,Actress,Gaalipata,"Daisy Bopanna was born on December 4, 1982 in Kodagu ( Coorg ), Karnataka, India"
Siddharth Anand Kumar,Director,Let's Enjoy,"Siddharth was born in New Delhi, India"
Norman Chappell,Actor,Journey to the Unknown,"Norman Chappell was born on December 31, 1925 in Lucknow, India as Norman George Chappell"
Saloni Aswani,Actress,Maryada Ramanna,"This breathtakingly beautiful actress was born in the Sindhi-speaking Aswani family in Ulhasnagar during the year 1987, and her birth name is Vandana"
Gemini Ganesan,Actor,Naan Avanillai,"Known as one of the ""big three"" of South Indian Cinema of yesteryear (the other two being M"
Kamal,Director,Celluloid,"Kamal was born on November 28, 1957 in Thrissur, Kerala, India as Kamaluddin"
Gagan Arora,Assistant Director,Stree,"Gagan Arora was born on 16 September 1993 in New Delhi, India"
Nanda,Actress,Mohabbat Isko Kahete Hain,"A film career spanning from the 1940s to the 1980s, Nanda was born on January 8, 1941, to a show-business Marathi family in Bombay, India"
Manvita Kamath,Actress,Tagaru,"Manvita Kamath was born in Mangaluru, Karnataka, India"
Pandharibai,Actress,Andha Naal,"Pandharibai was born in 1930 in Bhatkal, Karnataka, India"
Ramya,Actress,Just Maath Maathalli,"Ramya was born on November 29, 1982 in Bangalore, India as Divya Spandana"
Kavya Madhavan,Actress,Lion,"Kavya Madhavan was born on September 19, 1984 in Kasargod, Kerala, India"
Neetha Shetty,Actress,Tum Bin Jaaoon Kahaan,"Neetha Shetty was born on June 20, 1986 in Karnataka, India"
Mannara Chopra,Actress,Zid,"Barbie Handa is a Kathak dancer and also learned hip hop, belly dance and the Bollywood dance styles"
Pete Best,Self,The Rocker,"Pete Best was born on November 24, 1941 in Madras, India as Randolph Peter Best"
Brij,Director,Ustadon Ke Ustad,"Brij was born on October 6, 1933 in Gujranwala, Punjab, British India as Brijmohan Kishanlal Sadanah"
Harsh Nayyar,Actor,Men in Black,"Harsh Nayyar was born in New Delhi, India"
Kalpana Kartik,Actress,Nau Do Gyarah,"Kalpana Kartik was born on September 19, 1931 in Lahore, India"
Kavi Ladnier,Actress,Heroes,"Kavi Ladnier was born on January 15, 1974 in Kerala, India"
Sheikh Mukhtar,Actor,Do Ustad,Sheikh Mukhtar was the son of a railway police inspector
Bina Rai,Actress,Insaniyat,"Bina Rai was born on July 13, 1931 in British India"
Maria Goretti,Actress,Jo Jeeta Wohi Sikandar,"Maria Goretti was born on January 26, 1972 in Vasai, Maharashtra, India"
Perizaad Zorabian,Actress,Joggers' Park,"Perizaad was born in a Parsee family on October 23, 1973"
Sharmiela Mandre,Actress,Sajni,"Sharmiela Mandre was born on October 18, 1990 in Bangalore, Karnataka, India"
Sanjay Gadhvi,Director,Dhoom:2,Sanjay Gadhvi was born in India
Abhi Bhattacharya,Actor,Jagriti,Abhi Bhattacharya was born in 1921 in British India
Apoorva Agnihotri,Actor,Pyaar Koi Khel Nahin,"Apoorva Agnihotri was born on December 2, 1972 in India"
Pritam Chakraborty,Composer,Barfi!,"Pritam Chakraborty was born on June 14, 1971 in Calcutta, West Bengal, India"
Bhakti Barve,Actress,Jaane Bhi Do Yaaro,"Bhakti Barve was born on September 10, 1948 in Sangli, State of Bombay, India"
Tithi Raaj,Actress,Banoffee Pie,"Tithi Raaj was born in July 1991 in Bombay, Maharashtra, India"
Ayan Banerjee,Actor,Nabarupa,"Ayan Banerjee was born on February 9, 1956 in Calcutta, West Bengal, India"
Ralph Lister,Actor,Batman v Superman: Dawn of Justice,"Born in one of the unlikeliest of places - on the desk of the British High Commissioner in New Delhi, India - native British stage and film actor Ralph Lister lives happily in whatever real or imagined world he finds himself"
Rudranil Ghosh,Actor,Byomkesh Bakshi,"Rudranil Ghosh was born on January 6, 1973 in Howrah, West Bengal, India"
Shibani Bedi,Actress,Bharat,"Shibani is a Delhi based theater and web/TV/film actor, and has acted in several viral videos, ad films, short films, done a bunch of stage plays, and short cameos in movies like Rang De Basanti and No One Killed Jessica"
Pramod Moutho,Actor,Jodhaa Akbar,"Born at Amritsar, Indian Punjab in 1955, Pramod got his school and college education at Kapurthala"
Kanisha Malhotra,Director,50 Seasons of Love,"Kanisha Malhotra was born on October 28, 1991 in New Delhi, India"
Bhairavi Goswami,Actress,Kal Kissne Dekha,"Bhairavi Goswami was born on November 12, 1984 in India"
Meera Jasmine,Actress,Padam Onnu Oru Vilapam,"Meera Jasmine was born on February 15, 1982 in Thiruvalla, Kerala, India as Jasmine Mary Joseph"
Ashmit Patel,Assistant Director,Awara Paagal Deewana,"Ashmit Patel was born on January 13, 1978 in Bombay, Maharashtra, India"
Aashka Goradia,Actress,Adaalat,"Aashka Goradia was born on November 27, 1985 in Ahmedabad, India"
Anu Malik,Music Department,Main Hoon Na,"Anu Malik was born on November 2, 1960 in Bombay, Maharashtra, India as Anwar Sardaar Malik"
Sai Paranjape,Director,Sparsh,Sai Paranjpye has succeeded as a woman filmmaker of contemporary India in making work that has received both critical recognition and popular commercial appeal
David Gooderson,Actor,Doctor Who,"David Gooderson was born on February 24, 1941 in Lahore, India"
Sayali Bhagat,Actress,Marilyn Lights,"Sayali Bhagat was born on January 1, 1984 in Maharashta, India"
Sumita Sanyal,Actress,Mere Apne,"Sumita Sanyal was born as Manjula Sanyal in October 9, 1945 in Darjeeling"
Mahashweta Roy,Actress,Pooja,"Mahashweta Roy was born on July 2, 1962 in Puri, Orissa, India"
Narayana Rao Dasari,Director,Meghasandesam,"Narayana Rao Dasari was born on May 4, 1947 in Palakol, West Godavari district, Andhra Pradesh, India"
Ajinkya Deo,Actor,24,
Richard Sarstedt,Soundtrack,Skateboard,"Richard Sarstedt was born on March 29, 1941 in Delhi, British India"
Agha,Actor,Amber,"Agha was born on March 21, 1914 in Poona, Bombay Presidency, British India as Aghajan Baig"
Nandini Shrikent,Casting Director,Gully Boy,
Tapas Pal,Actor,Devdas,"Tapas Pal was born on September 29, 1958 in Chandannagar, West Bengal, India"
Pradeep Sarkar,Director,Parineeta,"Pradeep Sarkar was born on April 30, 1955 in Calcutta, West Bengal, India"
Chetan Bhagat,Writer,Kai po che!,"Chetan Bhagat was born on April 22, 1974 in New Delhi, India"
Vikas Sethi,Actor,Kabhi Khushi Kabhie Gham...,"Vikas Sethi was born on May 12, 1976 in India"
Trishna,Actress,Criminal,Trishna is an emerging singer-songwriter/model
Floyd Cardoz,Self,Top Chef Masters,"Floyd Cardoz was born on October 2, 1960 in Mumbai, Maharashtra, India"
Jayan,Actor,Puthiya Velicham,"Jayan was born on July 25, 1939 in Kollam, Travancore, British India as Krishnan Nair"
Merle Tottenham,Actress,The Invisible Man,"Merle Tottenham was born on January 22, 1901 in Quetta, India"
Sandip Ray,Director,Target,"Sandip Ray was born on September 8, 1953 in Calcutta, West Bengal, India"
Sulabha Deshpande,Actress,English Vinglish,"Sulabha Deshpande was born in 1937 in Bombay, Bombay Presidency, British India"
Shyam Ramsay,Director,Bandh Darwaza,Married to Anjali Ramsay
Raai Laxmi,Actress,Mankatha,"Raai Laxmi was born on May 5th, 1989, in Bangalore, India"
Cochin Hanifa,Director,Paasa Paravaigal,"Cochin Hanifa was born on April 22, 1951 in Kochi, Travancore-Cochin, India as Salim Ahmed Ghoush"
Anand Bakshi,Music Department,Dilwale Dulhania Le Jayenge,Anand Bakshi was one of the greatest and popular lyricists of his time
Neelam,Actress,Ankhen,"Neelam was born on September 17, 1928 in Mangalore, India"
Peggy Sue,Actress,Una calda moglie infedele,"Peggy Sue was born on April 16, 1978 in Bombay, India"
Raj Singh Chaudhary,Actor,Gulaal,"Raj Singh Chaudhary was born on July 23, 1975 in Meerut, Uttar Pradesh, India"
Mani Kaul,Director,Duvidha,"Mani Kaul was born on December 25, 1944 in Jodhpur, Rajasthan, India"
Mohan Gokhale,Actor,Dr. Babasaheb Ambedkar,"Mohan Gokhale was born in 1954 in Pune, State of Bombay, India"
Sylvia Coleridge,Actress,Tess,"Sylvia Coleridge was born on December 10, 1909 in Darjeeling, India"
Karuna Bannerjee,Actress,Aparajito,"Karuna Bannerjee was born on December 25, 1919 in Calcutta, Bengal Presidency, British India"
Mehul Kumar,Director,Krantiveer,"Brother of actor, director Hussain Bloch"
Leena Chandavarkar,Actress,Rakhwala,"Born in the Dharwar/Karwar region in the State of Karnataka (formerly known as Mysore), in the Marathi-speaking Chandavarkar family, this beautiful actress, with an oval cherubic face and innocent smile, has acted in many films like Saas Bhi Kabhi Bahu Thi (1970), Humjoli (1970),"
Sonu Walia,Actress,Khoon Bhari Maang,"Sonia was born on February 19, 1964 in the Punjabi-speaking Walia family in Delhi"
Chetan Anand,Director,Kudrat,"Chetan Anand was born on January 3, 1921 in Lahore, Punjab, British India"
Venkat Prabhu,Writer,Mankatha,Venkat Prabhu is the son of director and music director Gangai Amaran
E.V.V. Satyanarayana,Director,Fitting Master,E
Veerta Motiani,Actress,Easy A,"Veerta Motiani was born on August 8, 1984 in Mumbai, India"
Lalit Parimoo,Actor,Haider,"Lalit Parimoo was born on September 28, 1964 in Jammu and Kashmir, India"
Neha Bhasin,Music Department,Sultan,"Neha Bhasin was born on November 18, 1982 in New Delhi, India"
Asit Sen,Director,Safar,"Not to be confused with Asit Kumar Sen, who was an actor"
Shaleen Bhanot,Actor,Pyare Mohan,"Shaleen Bhanot was born on November 15, 1983 in Jabalpur, Madhya Pradesh, India"
Kundan Shah,Director,Kabhi Haan Kabhi Naa,"Kundan Shah was born on October 19, 1947 in India"
Gandharv Dewan,Actor,The Pickup Artist,"Gandharv Dewan, is a young actor, born and raised in New Delhi"
